n,bin_idx,K_lo,K_hi,K_1,K_2,h,q_num,q_den,q_float
6,1,1000000,10000000,5770878,7651133,2,-95,1,-95.0
6,1,1000000,10000000,4185259,4939034,2,-119,1,-119.0
6,1,1000000,10000000,5233355,5342587,2,-71,1,-71.0
6,1,1000000,10000000,2799971,8047472,2,-63,1,-63.0
6,1,1000000,10000000,7276952,7956273,3,-6,1,-6.0
6,1,1000000,10000000,4018527,4678551,2,-15,1,-15.0
6,1,1000000,10000000,3729141,6094640,2,-1,1,-1.0
6,1,1000000,10000000,2140131,9923077,2,-11,1,-11.0
6,1,1000000,10000000,3484953,6824936,2,-15,1,-15.0
6,1,1000000,10000000,3335209,8951867,2,-139,1,-139.0
6,1,1000000,10000000,1128080,8828436,2,-15,1,-15.0
6,1,1000000,10000000,1255816,2265186,2,-1,1,-1.0
6,1,1000000,10000000,2909519,7402179,2,-95,1,-95.0
6,1,1000000,10000000,2603471,5004347,2,-767,1,-767.0
6,1,1000000,10000000,4463900,6917432,2,-7,1,-7.0
6,1,1000000,10000000,4114902,5838231,2,-7,1,-7.0
6,1,1000000,10000000,1089785,2643766,2,-3,1,-3.0
6,1,1000000,10000000,6798292,7542482,2,-143,1,-143.0
6,1,1000000,10000000,5379313,8558643,2,-17,1,-17.0
6,1,1000000,10000000,7202017,8271344,2,-39,1,-39.0
6,1,1000000,10000000,7600149,8663626,2,-15,1,-15.0
6,1,1000000,10000000,4364520,7712690,2,-1,1,-1.0
6,1,1000000,10000000,3481793,5965564,4,108,1,108.0
6,1,1000000,10000000,7229682,9603164,2,-15,1,-15.0
6,1,1000000,10000000,1282602,3368563,3,7,1,7.0
6,1,1000000,10000000,2280968,4563914,4,135,1,135.0
6,1,1000000,10000000,3974751,4734443,2,-11,1,-11.0
6,1,1000000,10000000,2942983,4967551,2,-15,1,-15.0
6,1,1000000,10000000,2281376,8581520,2,-7,1,-7.0
6,1,1000000,10000000,2683441,4906877,2,-47,1,-47.0
6,1,1000000,10000000,3302260,8937745,2,-7,1,-7.0
6,1,1000000,10000000,6397641,6826488,2,-15,1,-15.0
6,1,1000000,10000000,2510605,6537004,2,-143,1,-143.0
