i,log2_a_plus_1,log2_q
555,1.000000,1088.224799
556,1.584963,1089.626727
557,2.000000,1091.383077
558,5.426265,1096.785526
559,1.000000,1096.819239
560,3.584963,1100.401422
561,2.807355,1103.006322
562,5.807355,1108.791987
563,1.000000,1108.817905
564,2.000000,1110.811469
565,1.584963,1111.982111
566,1.584963,1113.271487
567,3.906891,1117.120398
568,1.584963,1118.169611
569,1.000000,1118.738355
570,1.584963,1120.157464
571,1.000000,1120.615787
572,1.584963,1122.063541
573,4.087463,1126.096223
574,4.000000,1130.008979
575,1.000000,1130.101722
576,1.000000,1131.056096
577,2.584963,1133.519735
578,3.169925,1136.552063
579,1.584963,1137.637644
580,2.000000,1139.433080
581,2.321928,1141.533413
582,3.459432,1144.888599
583,1.584963,1145.957422
584,1.584963,1147.265846
585,2.000000,1149.032976
586,1.000000,1149.404582
587,1.000000,1150.230711
588,1.000000,1150.875989
589,1.584963,1152.276182
590,1.584963,1153.526464
591,1.000000,1154.032727
592,1.584963,1155.467845
593,2.321928,1157.595418
594,1.584963,1158.751713
595,2.321928,1160.905085
596,1.000000,1161.197615
597,1.000000,1162.058752
598,1.000000,1162.691503
599,1.000000,1163.409542
600,5.169925,1168.563669
601,1.000000,1168.603626
602,2.000000,1170.593740
603,2.321928,1172.681787
604,4.392317,1177.020582
605,3.169925,1180.029466
606,1.000000,1180.198407
607,1.584963,1181.729224
608,1.000000,1182.157990
609,1.000000,1182.959477
610,1.000000,1183.613690
611,4.247928,1187.833666
612,1.000000,1187.909077
613,2.000000,1189.890591
614,1.000000,1190.216235
615,4.954196,1195.160997
616,1.000000,1195.207097
617,2.321928,1197.519922
618,2.000000,1199.198564
619,2.584963,1201.607922
620,3.459432,1204.956755
621,1.584963,1206.025874
622,1.584963,1207.334241
623,5.357552,1212.670659
624,3.700440,1216.258594
625,1.584963,1217.317369
626,2.321928,1219.480880
627,1.584963,1220.633526
628,3.459432,1224.018929
629,1.000000,1224.150777
630,1.000000,1225.086359
631,1.000000,1225.693115
632,2.807355,1228.427916
633,1.584963,1229.532404
634,1.584963,1230.834031
635,2.321928,1232.973392
636,1.584963,1234.128481
637,2.807355,1236.817565
638,1.000000,1237.025535
639,2.000000,1238.976285
640,3.906891,1242.810054
641,1.000000,1242.907843
642,3.000000,1245.895976
643,1.000000,1246.067224
644,2.000000,1248.026280
645,1.000000,1248.356490
646,4.247928,1252.588800
647,2.000000,1254.199124
648,1.000000,1254.607863
649,4.000000,1258.585443
650,2.321928,1260.608159
651,3.000000,1263.465362
652,1.000000,1263.651870
653,1.000000,1264.561628
654,1.584963,1265.902061
655,2.000000,1267.665431
656,1.584963,1268.863648
657,1.000000,1269.385517
658,1.000000,1270.148052
659,2.321928,1272.346376
660,2.000000,1274.032492
661,7.169925,1281.195495
662,2.000000,1282.783809
663,1.000000,1283.198009
664,2.584963,1285.721680
665,1.000000,1285.952990
666,2.584963,1288.501885
667,1.584963,1289.620169
668,2.321928,1291.777420
669,2.000000,1293.466354
670,2.807355,1296.124030
671,1.000000,1296.336256
672,4.169925,1300.495175
673,1.584963,1301.535002
674,4.247928,1305.743394
675,3.700440,1309.334845
676,1.000000,1309.449824
677,1.584963,1310.997469
678,1.000000,1311.421927
679,1.000000,1312.225252
680,1.000000,1312.878795
681,1.000000,1313.588719
682,1.000000,1314.276991
683,1.584963,1315.666886
684,1.000000,1316.133218
685,4.523562,1320.639351
686,1.000000,1320.701482
687,1.000000,1321.670751
688,1.584963,1322.998877
689,1.584963,1324.260881
690,1.000000,1324.763684
691,1.000000,1325.534077
692,4.000000,1329.496280
693,1.000000,1329.585993
694,2.584963,1332.156386
695,1.000000,1332.380869
696,1.000000,1333.272989
697,1.000000,1333.894815
698,3.321928,1337.165321
699,1.000000,1337.307576
700,1.000000,1338.238201
701,1.584963,1339.574274
702,1.584963,1340.834960
703,4.321928,1345.114234
704,2.000000,1346.723753
705,2.000000,1348.458282
706,3.321928,1351.675591
707,4.321928,1355.931660
708,1.584963,1356.968926
709,1.000000,1357.541573
710,1.000000,1358.283478
711,1.000000,1358.959700
712,1.584963,1360.352458
713,1.000000,1360.818000
714,4.807355,1365.611074
715,1.000000,1365.662195
716,2.000000,1367.649583
717,1.000000,1367.974042
718,2.584963,1370.509746
719,1.000000,1370.739280
720,2.000000,1372.685228
721,1.000000,1373.018130
722,3.000000,1375.980482
723,1.000000,1376.154639
724,4.523562,1380.671051
725,2.807355,1383.266481
726,1.000000,1383.487383
727,2.000000,1385.435247
728,1.000000,1385.767754
729,2.321928,1388.029031
730,2.000000,1389.710969
731,5.954196,1395.649059
732,1.000000,1395.672399
733,1.000000,1396.660776
734,1.000000,1397.249623
735,2.000000,1399.123387
736,2.000000,1400.833939
737,5.954196,1406.771885
738,1.000000,1406.795228
739,2.000000,1408.789427
740,1.584963,1409.959998
741,1.000000,1410.490314
742,1.000000,1411.249387
743,1.000000,1411.919209
744,1.000000,1412.622827
745,1.584963,1414.009103
746,3.459432,1417.385192
747,2.000000,1419.015744
748,1.000000,1419.419519
749,2.584963,1421.944555
750,1.000000,1422.175662
751,2.321928,1424.454236
752,1.000000,1424.724587
753,1.000000,1425.595735
754,1.000000,1426.224939
755,2.000000,1428.091465
756,1.000000,1428.441094
757,6.870365,1435.308803
758,2.000000,1436.897877
759,2.000000,1438.634432
760,1.000000,1439.013038
761,1.000000,1439.836119
762,2.321928,1442.026808
763,1.000000,1442.312562
764,4.247928,1446.546780
765,1.584963,1447.584608
766,1.584963,1448.899050
767,2.321928,1451.037235
768,1.584963,1452.192444
769,1.000000,1452.727503
770,2.000000,1454.611175
771,1.000000,1454.957131
772,1.584963,1456.435733
773,1.000000,1456.878105
774,2.807355,1459.629981
775,1.000000,1459.829678
776,1.000000,1460.733282
777,1.000000,1461.351098
778,1.000000,1462.075012
779,2.584963,1464.561842
780,2.000000,1466.230142
781,2.321928,1468.339377
782,1.000000,1468.640110
783,3.807355,1472.427943
784,1.000000,1472.528789
785,2.321928,1474.831104
786,3.169925,1477.867209
787,1.000000,1478.033167
788,3.000000,1481.013437
789,2.584963,1483.371473
790,3.906891,1487.198790
791,1.000000,1487.297003
792,4.169925,1491.461644
793,3.321928,1494.640479
794,1.584963,1495.718014
795,1.000000,1496.277592
796,2.584963,1498.783102
797,1.000000,1499.017116
798,1.584963,1500.528213
799,1.000000,1500.962074
800,1.000000,1501.761392
801,1.584963,1503.125752
802,1.000000,1503.599182
803,3.807355,1507.377417
804,1.584963,1508.429057
805,2.321928,1510.593335
806,3.000000,1513.445952
807,2.584963,1515.807283
808,1.000000,1516.063825
809,1.584963,1517.568238
810,4.000000,1521.508637
811,1.000000,1521.599675
812,5.459432,1527.057100
813,1.000000,1527.089566
814,1.584963,1528.663788
815,2.321928,1530.780094
816,1.000000,1531.079499
817,1.000000,1531.937549
818,2.321928,1534.123954
819,2.321928,1536.201094
820,2.584963,1538.589830
821,5.700440,1544.267647
822,1.000000,1544.295558
823,2.807355,1547.098958
824,1.000000,1547.292098
825,4.087463,1551.368888
826,5.000000,1556.325840
827,1.584963,1557.348880
828,2.584963,1559.806232
829,1.584963,1560.931936
830,1.000000,1561.476202
831,1.000000,1562.229584
832,2.000000,1564.074858
833,4.392317,1568.416723
834,2.000000,1570.025208
835,2.584963,1572.438786
836,2.321928,1574.504941
837,1.584963,1575.667663
838,1.000000,1576.200398
839,1.584963,1577.628671
840,1.000000,1578.084505
841,1.000000,1578.874517
842,1.000000,1579.532924
843,1.000000,1580.240959
844,1.000000,1580.929948
845,2.000000,1582.786053
846,2.000000,1584.498085
847,1.000000,1584.882389
848,1.584963,1586.350268
849,1.000000,1586.795479
850,1.584963,1588.246744
851,1.584963,1589.489011
852,2.584963,1591.928025
853,1.584963,1593.055268
854,2.584963,1595.503585
855,3.169925,1598.536254
856,1.000000,1598.702586
857,1.000000,1599.621816
858,1.000000,1600.234207
859,1.000000,1600.960264
860,4.169925,1605.098140
861,1.000000,1605.177848
862,2.321928,1607.484183
863,1.000000,1607.749828
864,1.000000,1608.623111
865,1.584963,1609.971288
866,1.000000,1610.449264
867,1.000000,1611.229981
868,6.507795,1617.731135
869,3.169925,1620.733124
870,1.000000,1620.902828
871,1.000000,1621.820470
872,1.584963,1623.159250
873,3.321928,1626.391198
874,2.321928,1628.429084
875,1.584963,1629.594849
876,1.584963,1630.885113
877,1.000000,1631.379657
878,2.000000,1633.270993
879,1.000000,1633.615319
880,1.000000,1634.453404
881,1.000000,1635.094382
882,2.000000,1636.958827
883,3.169925,1640.007521
884,1.000000,1640.172116
885,1.584963,1641.704273
886,1.000000,1642.132694
887,2.000000,1644.036918
888,1.000000,1644.378517
889,6.768184,1651.143908
890,1.000000,1651.157109
891,2.321928,1653.476406
