s,popcount,geometry,sequency,mean_p,ratio,corr_v2,monoids_above,cv,z,ci_lo,ci_hi,split_ok,robust
215,6,edge-loaded,178,0.004673337563872337,1.1963744163513184,-0.14090452821157,28,0.20115473866462708,65.48029327392578,0.0046483034324351575,0.00469537925880192,True,True
218,5,mixed,109,0.004445657599717379,1.138088345527649,0.12180011993568869,25,0.1449843794107437,46.04502487182617,0.004410857157481293,0.004477693589081267,True,True
219,6,edge-loaded,146,0.0051902602426707745,1.3287066221237183,-0.020351644771025926,26,0.19612948596477509,109.60594940185547,0.005160429425567629,0.005227576710862078,False,True
223,7,edge-loaded,173,0.004406225401908159,1.1279937028884888,-0.15649467974528214,26,0.12280913442373276,42.67900466918945,0.004385000483636114,0.004432506048150601,True,True
232,4,high-bit-heavy,26,0.005435689818114042,1.3915365934371948,0.24985564081682005,30,0.2282695323228836,130.55636596679688,0.005398266832344234,0.0054711568961671045,False,True
234,5,mixed,101,0.004627954214811325,1.1847562789916992,0.10977130963555463,26,0.1926729530096054,61.606266021728516,0.004592188021859094,0.004656379963571746,True,True
235,6,edge-loaded,154,0.0044530401937663555,1.139978289604187,-0.13575346816894662,26,0.1841997355222702,46.67522048950195,0.0044164050569487434,0.004478992722860928,True,True
244,5,high-bit-heavy,53,0.004932828713208437,1.2628041505813599,0.4492998770478697,30,0.18859972059726715,87.63102722167969,0.004905468108312738,0.004964350463799952,False,True
246,6,mixed,74,0.004874545615166426,1.247883677482605,0.22914742506433086,31,0.09349767863750458,82.65585327148438,0.004843953208276821,0.004908160421050965,True,True
247,7,edge-loaded,181,0.004308127332478762,1.102880597114563,-0.24325139719303884,28,0.09066963940858841,34.305137634277344,0.0042816585679012805,0.004337012124503212,True,True
251,7,edge-loaded,149,0.004430016037076712,1.1340841054916382,-0.1662645759500672,25,0.1272062212228775,44.7098274230957,0.00439843303944555,0.004455871119224016,True,True
254,7,contiguous,85,0.004735735710710287,1.2123483419418335,0.05401003863025542,27,0.17024512588977814,70.80673217773438,0.004709524518036614,0.004755285125030505,False,True
255,8,full,170,0.005446730647236109,1.3943630456924438,-0.09543482185659004,31,0.10764910280704498,131.49884033203125,0.005408159185261015,0.005479425806251745,True,True
