n,N,d_k,Q_n_at_cell,bin_count,bin_log_sum,M_n_total,log_M_n_total,bin_count_frac,bin_log_frac,cell_contribution_to_S_n
3,1000000,10,-4.0,85,858.797291,15962,193680.534558,0.00532515,0.00443409,-3435.189163
3,1000000,11,-4.5,1,9.128696,15962,193680.534558,0.00006265,0.00004713,-41.079134
3,1000000,12,-5.0,2118,25591.338674,15962,193680.534558,0.13269014,0.13213170,-127956.693371
3,1000000,13,-5.5,1,10.514991,15962,193680.534558,0.00006265,0.00005429,-57.832449
3,1000000,14,-6.0,67,740.909252,15962,193680.534558,0.00419747,0.00382542,-4445.455510
3,1000000,15,-6.5,29,349.499641,15962,193680.534558,0.00181681,0.00180452,-2271.747666
3,1000000,16,-7.0,2694,33576.805046,15962,193680.534558,0.16877584,0.17336179,-235037.635320
3,1000000,17,-7.5,1,13.287579,15962,193680.534558,0.00006265,0.00006861,-99.656846
3,1000000,18,-8.0,351,4291.524157,15962,193680.534558,0.02198973,0.02215775,-34332.193257
3,1000000,20,-9.0,611,7593.407826,15962,193680.534558,0.03827841,0.03920584,-68340.670434
3,1000000,21,-9.5,12,146.271555,15962,193680.534558,0.00075179,0.00075522,-1389.579774
3,1000000,22,-10.0,21,264.575908,15962,193680.534558,0.00131562,0.00136604,-2645.759076
3,1000000,24,-11.0,1660,21053.323133,15962,193680.534558,0.10399699,0.10870129,-231586.554468
3,1000000,25,-11.5,2,24.161019,15962,193680.534558,0.00012530,0.00012475,-277.851717
3,1000000,26,-12.0,6,77.385789,15962,193680.534558,0.00037589,0.00039955,-928.629474
3,1000000,27,-12.5,20,253.349516,15962,193680.534558,0.00125298,0.00130808,-3166.868946
3,1000000,28,-13.0,178,2265.026793,15962,193680.534558,0.01115148,0.01169465,-29445.348312
3,1000000,30,-14.0,101,1268.375927,15962,193680.534558,0.00632753,0.00654880,-17757.262979
3,1000000,32,-15.0,629,8121.083325,15962,193680.534558,0.03940609,0.04193030,-121816.249876
3,1000000,33,-15.5,2,25.368089,15962,193680.534558,0.00012530,0.00013098,-393.205378
3,1000000,35,-16.5,1,12.793859,15962,193680.534558,0.00006265,0.00006606,-211.098679
3,1000000,36,-17.0,230,2962.084543,15962,193680.534558,0.01440922,0.01529366,-50355.437235
3,1000000,39,-18.5,1,13.733867,15962,193680.534558,0.00006265,0.00007091,-254.076532
3,1000000,40,-19.0,193,2510.036449,15962,193680.534558,0.01209122,0.01295967,-47690.692534
3,1000000,42,-20.0,25,322.902035,15962,193680.534558,0.00156622,0.00166719,-6458.040708
3,1000000,44,-21.0,6,79.849580,15962,193680.534558,0.00037589,0.00041227,-1676.841188
3,1000000,45,-21.5,4,52.041001,15962,193680.534558,0.00025060,0.00026870,-1118.881523
3,1000000,48,-23.0,185,2430.776985,15962,193680.534558,0.01159003,0.01255045,-55907.870653
3,1000000,50,-24.0,1,13.353475,15962,193680.534558,0.00006265,0.00006895,-320.483402
3,1000000,54,-26.0,8,105.705275,15962,193680.534558,0.00050119,0.00054577,-2748.337160
3,1000000,56,-27.0,26,346.453910,15962,193680.534558,0.00162887,0.00178879,-9354.255568
3,1000000,60,-29.0,19,252.159389,15962,193680.534558,0.00119033,0.00130193,-7312.622283
3,1000000,63,-30.5,1,13.466804,15962,193680.534558,0.00006265,0.00006953,-410.737515
3,1000000,64,-31.0,18,240.957707,15962,193680.534558,0.00112768,0.00124410,-7469.688917
3,1000000,72,-35.0,5,67.587246,15962,193680.534558,0.00031324,0.00034896,-2365.553624
3,1000000,80,-39.0,1,13.488006,15962,193680.534558,0.00006265,0.00006964,-526.032234
5,1000000,1,0.5,1,3.218876,7805,94931.412020,0.00012812,0.00003391,1.609438
5,1000000,2,0.0,45,331.803480,7805,94931.412020,0.00576553,0.00349519,0.000000
5,1000000,3,-0.5,45,518.757549,7805,94931.412020,0.00576553,0.00546455,-259.378774
5,1000000,4,-1.0,995,11454.861996,7805,94931.412020,0.12748238,0.12066461,-11454.861996
5,1000000,5,-1.5,5,50.896436,7805,94931.412020,0.00064061,0.00053614,-76.344654
5,1000000,6,-2.0,257,2818.461273,7805,94931.412020,0.03292761,0.02968945,-5636.922545
5,1000000,7,-2.5,2,17.188308,7805,94931.412020,0.00025625,0.00018106,-42.970771
5,1000000,8,-3.0,1641,19712.426611,7805,94931.412020,0.21024984,0.20764915,-59137.279832
5,1000000,9,-3.5,47,560.350430,7805,94931.412020,0.00602178,0.00590269,-1961.226505
