prefix_fraction,lexicographic,bidder_key0,bidder_median,bidder_p05,bidder_p95,random_median,random_p05,random_p95
1.033333333333333326e-02,2.741686966700406458e+01,3.095453026919813500e+00,2.211037876371296118e+00,1.216070832004212843e+00,3.521077818121287617e+00,1.768830301097036095e+00,1.105518938185647393e+00,2.542693557826990247e+00
1.044444444444444370e-02,2.756542551066644364e+01,2.785867471822672581e+00,2.162712905757074644e+00,1.172996830241125110e+00,3.476835917136585241e+00,1.796151396306723047e+00,1.063028377406019853e+00,2.492618264262391303e+00
1.055555555555555587e-02,2.771321813309548432e+01,2.807786574010989966e+00,2.114956120683602947e+00,1.458590428057657151e+00,3.427687505935494094e+00,1.786773274370629938e+00,1.130407581744684364e+00,2.479603727698016957e+00
1.066666666666666631e-02,2.786025969155460658e+01,2.829557624923514592e+00,2.067753648982568748e+00,1.414778812461757740e+00,3.341054580198149271e+00,1.741266230722163133e+00,1.088291394201352125e+00,2.503070206663108976e+00
1.077777777777777848e-02,2.800656202691521912e+01,2.851183505317399280e+00,2.021092105035119157e+00,1.371455356988116714e+00,3.320365601129124045e+00,1.786501057129256775e+00,1.046636982964615381e+00,2.526365131293898170e+00
1.088888888888888892e-02,2.815213667505413397e+01,2.872667007658584293e+00,1.974958567765277673e+00,1.328608491042095885e+00,3.267658721211640582e+00,1.777462710988749306e+00,1.005433452680505102e+00,2.621308644488459016e+00
1.099999999999999936e-02,2.829699487772884581e+01,2.894010839767723109e+00,2.250897319819340048e+00,1.286227039896765678e+00,3.215567599741914417e+00,1.607783799870957209e+00,9.646702799225742586e-01,2.572454079793531356e+00
1.111111111111111154e-02,2.844114759295929673e+01,2.915217628278327755e+00,2.204188938454345603e+00,1.244300207191969543e+00,3.164077669716721886e+00,1.884226028033553657e+00,9.954401657535753012e-01,2.595254717857535809e+00
1.122222222222222197e-02,2.858460550494346464e+01,2.936289921918697310e+00,2.157996207675187517e+00,1.202817558376334306e+00,3.113174856974040949e+00,1.839603324575569854e+00,1.025932623320990444e+00,2.617897038819079647e+00
1.133333333333333415e-02,2.872737903353194611e+01,2.957230194628287734e+00,2.112307281877348952e+00,1.193453614260702400e+00,3.062845558722155914e+00,1.795461189595746854e+00,1.056153640938674032e+00,2.745999466440553594e+00
1.144444444444444459e-02,2.886947834328532281e+01,2.978040848518510142e+00,2.207253805372542566e+00,1.163187719656641583e+00,3.281100299573627144e+00,1.751788734422652816e+00,1.086109015342044959e+00,2.697754651010885407e+00
1.155555555555555503e-02,2.901091335213663669e+01,2.998724216687200794e+00,2.336215378116772712e+00,1.157647023186221702e+00,3.277675306611591566e+00,1.743444312027442100e+00,1.080935473457014240e+00,2.650035354281712330e+00
1.166666666666666720e-02,2.915169373967959032e+01,3.019282565895386128e+00,2.290490222403396725e+00,1.353471495056552731e+00,3.227508949750240941e+00,1.769924262766260803e+00,1.041131919274271400e+00,2.602829798185678278e+00
1.177777777777777764e-02,2.929182895510226814e+01,3.039718099114385730e+00,2.245246323209490136e+00,1.312605542799394343e+00,3.177887103619585929e+00,1.796197058567591487e+00,1.001725282662695671e+00,2.556126583346188585e+00
1.188888888888888808e-02,2.943132822478460398e+01,3.060032957950735266e+00,2.200473138301652920e+00,1.272148533080643240e+00,3.391823048335280255e+00,1.822266817656055693e+00,9.627069980069734578e-01,2.509914673375322813e+00
1.200000000000000025e-02,2.957020055957691795e+01,3.080229224955929102e+00,2.156160457469150415e+00,1.232091689982371729e+00,3.388252147451522145e+00,1.848137534973557372e+00,1.232091689982371729e+00,2.541189110588641498e+00
1.211111111111111069e-02,2.970845476177565914e+01,3.100308925827505835e+00,2.180437046735828055e+00,1.260565167644150719e+00,3.338794227814237292e+00,1.805674429328107955e+00,1.192426509933656176e+00,2.725546308419785735e+00
1.222222222222222286e-02,2.984609943181165903e+01,3.120274031507582535e+00,2.204541435304270269e+00,1.288808839100957782e+00,3.289854141915603769e+00,1.763633148243416660e+00,1.153144750774541594e+00,2.679365744446728925e+00
1.233333333333333330e-02,2.998314297466523470e+01,3.140126460184534007e+00,2.279124043682323464e+00,1.144626741938233883e+00,3.499721587076633167e+00,1.722004833004422419e+00,1.114238421355802977e+00,2.633654450477351805e+00
1.244444444444444374e-02,3.011959360602163827e+01,3.159868079203162150e+00,2.285862014742713999e+00,1.116038513080266359e+00,3.496024257841797489e+00,1.680780893193172032e+00,1.075699771643630287e+00,2.588402575517484649e+00
1.255555555555555591e-02,3.025545935817959275e+01,3.179500706888342076e+00,2.275853137562181772e+00,1.338737139742459892e+00,3.447248134836834232e+00,1.673421424678074754e+00,1.070989711793967736e+00,2.577068994004235059e+00
1.266666666666666635e-02,3.039074808572492969e+01,2.899117416072443998e+00,2.299300019643662374e+00,1.299604358929026704e+00,3.398965246429761944e+00,1.699482623214880750e+00,1.074672835268233539e+00,2.649193500893785025e+00
1.277777777777777853e-02,3.052546747098054070e+01,2.919827323311181999e+00,2.156690636536668926e+00,1.260834525975283560e+00,3.351165450618516228e+00,1.725352509229334474e+00,1.128115102188411045e+00,2.753928043577592355e+00
1.288888888888888896e-02,3.065962502924349309e+01,2.940416624571843052e+00,2.114456898568517040e+00,1.222420394484924122e+00,3.303838904013307598e+00,1.751034619127052494e+00,1.156343616404657215e+00,2.709147901290912319e+00
1.299999999999999940e-02,3.079322811381921809e+01,2.960887318636463039e+00,2.072621123045524261e+00,1.228768237234132199e+00,3.256976050500109299e+00,1.776532391181877779e+00,1.184354927454585260e+00,2.664798586772816780e+00
1.311111111111111158e-02,3.092628392086243139e+01,2.981241352540763945e+00,2.096697214973723966e+00,1.190858496317107607e+00,3.471016717601031143e+00,1.769088275134079957e+00,1.146631289438755585e+00,2.686393306685084248e+00
1.322222222222222202e-02,3.105879949403364293e+01,2.707857518912597072e+00,2.120611309991792925e+00,1.153286304741690804e+00,3.433759082717479316e+00,1.826988205531390630e+00,1.109242839072630327e+00,2.748638505643208774e+00
1.333333333333333419e-02,3.119078172897987855e+01,2.729193401285738840e+00,2.144366243867366517e+00,1.116045158740061716e+00,3.411491751607174550e+00,1.851952665158179911e+00,1.072183121933683703e+00,2.826664594188801782e+00
1.344444444444444463e-02,3.132223737764761395e+01,2.750403075516577367e+00,2.184143618792576458e+00,1.326665012896232065e+00,3.365199057102636893e+00,1.876745627999546695e+00,1.035445863723888582e+00,2.782760758757949482e+00
1.355555555555555507e-02,3.145317305243552752e+01,2.771488609128540670e+00,2.191409597915590091e+00,1.293898461122219734e+00,3.319341008607437971e+00,1.869143480575062188e+00,1.031251575489689376e+00,2.739261997394487835e+00
1.366666666666666724e-02,3.158359523019429105e+01,2.792452017303763245e+00,2.214703324068501900e+00,1.266232552673948186e+00,3.273909261666481552e+00,1.829537528578327965e+00,1.059205937597979208e+00,2.696160568431220206e+00
1.377777777777777768e-02,3.171351025608022667e+01,2.813295264652277528e+00,2.237848505973402791e+00,1.238808994378133965e+00,3.228895701475910318e+00,1.790278804778722588e+00,1.086954988615652651e+00,2.725379787631894590e+00
1.388888888888888812e-02,3.184292434726929599e+01,2.834020266906966956e+00,2.324533477350658739e+00,1.211623271413597047e+00,3.184292434726929688e+00,1.751360839099811662e+00,1.114502352154424836e+00,2.897706115601506038e+00
