n,m,Q_rational,Lambda_value,sign
6,744,1,+6.6120410348,+
6,750,1,+6.6200732065,+
6,756,-1,-6.6280413762,-
6,762,1,+6.6359465557,+
6,768,1,+6.6437897331,+
6,774,1,+6.6515718736,+
6,780,1,+6.6592939197,+
6,786,1,+6.6669567924,+
6,792,-1,-6.6745613918,-
6,798,1,+6.6821085974,+
6,804,1,+6.6895992692,+
6,810,1,+6.6970342477,+
6,816,1,+6.7044143550,+
6,822,1,+6.7117403951,+
6,828,0,+0.0000000000,0
6,834,1,+6.7262334024,+
6,840,1,+6.7334018918,+
6,846,1,+6.7405193596,+
6,852,1,+6.7475865268,+
6,858,1,+6.7546040995,+
6,864,-1,-6.7615727688,-
6,870,1,+6.7684932116,+
6,876,1,+6.7753660909,+
6,882,1,+6.7821920560,+
6,888,1,+6.7889717430,+
6,894,1,+6.7957057752,+
6,900,-1/2,-3.4011973817,-
6,906,1,+6.8090393060,+
6,912,1,+6.8156399901,+
6,918,1,+6.8221973906,+
6,924,1,+6.8287120716,+
6,930,1,+6.8351845861,+
6,936,-1,-6.8416154765,-
6,942,1,+6.8480052746,+
6,948,1,+6.8543545023,+
6,954,1,+6.8606636714,+
6,960,1,+6.8669332845,+
6,966,1,+6.8731638342,+
6,972,-1,-6.8793558045,-
6,978,1,+6.8855096700,+
6,984,1,+6.8916258971,+
6,990,1,+6.8977049431,+
6,996,1,+6.9037472576,+
6,1002,1,+6.9097532816,+
6,1008,-2,-13.8314468973,-
6,1014,1,+6.9216581842,+
6,1020,1,+6.9275579063,+
6,1026,1,+6.9334230257,+
6,1032,1,+6.9392539460,+
6,1038,1,+6.9450510637,+
6,1044,0,+0.0000000000,0
6,1050,1,+6.9565454432,+
6,1056,1,+6.9622434643,+
6,1062,1,+6.9679092018,+
6,1068,1,+6.9735430195,+
6,1074,1,+6.9791452751,+
6,1080,-2,-13.9694326402,-
6,1086,1,+6.9902565005,+
6,1092,1,+6.9957661563,+
6,1098,1,+7.0012456221,+
6,1104,1,+7.0066952268,+
6,1110,1,+7.0121152943,+
6,1116,0,+0.0000000000,0
6,1122,1,+7.0228680861,+
6,1128,1,+7.0282014321,+
6,1134,1,+7.0335064843,+
6,1140,1,+7.0387835414,+
6,1146,1,+7.0440328973,+
6,1152,-2,-14.0985096825,-
6,1158,1,+7.0544496581,+
6,1164,1,+7.0596176283,+
6,1170,1,+7.0647590278,+
6,1176,1,+7.0698741285,+
6,1182,1,+7.0749631980,+
6,1188,-1,-7.0800264999,-
6,1194,1,+7.0850642940,+
6,1200,1,+7.0900768358,+
6,1206,1,+7.0950643773,+
6,1212,1,+7.1000271666,+
6,1218,1,+7.1049654483,+
6,1224,-1,-7.1098794631,-
6,1230,1,+7.1147694484,+
6,1236,1,+7.1196356380,+
6,1242,1,+7.1244782625,+
6,1248,1,+7.1292975489,+
6,1254,1,+7.1340937212,+
6,1260,-1,-7.1388669999,-
6,1266,1,+7.1436176027,+
6,1272,1,+7.1483457439,+
6,1278,1,+7.1530516349,+
6,1284,1,+7.1577354842,+
6,1290,1,+7.1623974974,+
6,1296,-3/4,-5.3752784077,-
6,1302,1,+7.1716568228,+
6,1308,1,+7.1762545320,+
6,1314,1,+7.1808311990,+
6,1320,1,+7.1853870156,+
6,1326,1,+7.1899221707,+
6,1332,0,+0.0000000000,0
6,1338,1,+7.1989312407,+
6,1344,1,+7.2034055211,+
6,1350,1,+7.2078598714,+
6,1356,1,+7.2122944685,+
6,1362,1,+7.2167094867,+
6,1368,-1,-7.2211050982,-
6,1374,1,+7.2254814728,+
6,1380,1,+7.2298387782,+
6,1386,1,+7.2341771797,+
6,1392,1,+7.2384968409,+
6,1398,1,+7.2427979228,+
6,1404,-1,-7.2470805846,-
6,1410,1,+7.2513449834,+
6,1416,1,+7.2555912743,+
6,1422,1,+7.2598196104,+
6,1428,1,+7.2640301429,+
6,1434,1,+7.2682230212,+
6,1440,-3,-21.8171951777,-
6,1446,1,+7.2765564027,+
6,1452,1,+7.2806971954,+
6,1458,1,+7.2848209126,+
6,1464,1,+7.2889276945,+
6,1470,1,+7.2930176798,+
6,1476,0,+0.0000000000,0
6,1482,1,+7.3011478059,+
6,1488,1,+7.3051882154,+
6,1494,1,+7.3092123657,+
6,1500,1,+7.3132203871,+
6,1506,1,+7.3172124084,+
6,1512,-2,-14.6423771135,-
6,1518,1,+7.3251489580,+
6,1524,1,+7.3290937362,+
6,1530,1,+7.3330230144,+
6,1536,1,+7.3369369137,+
6,1542,1,+7.3408355541,+
6,1548,0,+0.0000000000,0
6,1554,1,+7.3485875309,+
6,1560,1,+7.3524411002,+
6,1566,1,+7.3562798766,+
6,1572,1,+7.3601039730,+
6,1578,1,+7.3639135014,+
6,1584,-2,-14.7354171447,-
6,1590,1,+7.3714892952,+
6,1596,1,+7.3752557780,+
6,1602,1,+7.3790081276,+
6,1608,1,+7.3827464497,+
6,1614,1,+7.3864708488,+
6,1620,-2,-14.7803628565,-
6,1626,1,+7.3938782901,+
6,1632,1,+7.3975615355,+
6,1638,1,+7.4012312644,+
6,1644,1,+7.4048875756,+
6,1650,1,+7.4085305669,+
6,1656,-1,-7.4121603349,-
6,1662,1,+7.4157769754,+
6,1668,1,+7.4193805829,+
6,1674,1,+7.4229712510,+
6,1680,1,+7.4265490724,+
6,1686,1,+7.4301141386,+
6,1692,0,+0.0000000000,0
6,1698,1,+7.4372063669,+
6,1704,1,+7.4407337074,+
6,1710,1,+7.4442486495,+
6,1716,1,+7.4477512800,+
6,1722,1,+7.4512416850,+
6,1728,-2/3,-4.9698132996,-
6,1734,1,+7.4581861573,+
6,1740,1,+7.4616403922,+
6,1746,1,+7.4650827364,+
6,1752,1,+7.4685132715,+
6,1758,1,+7.4719320782,+
6,1764,-1/2,-3.7376696183,-
6,1770,1,+7.4787348256,+
6,1776,1,+7.4821189236,+
6,1782,1,+7.4854916080,+
6,1788,1,+7.4888529557,+
6,1794,1,+7.4922030426,+
6,1800,-2,-14.9910838878,-
6,1806,1,+7.4988697340,+
6,1812,1,+7.5021864866,+
6,1818,1,+7.5054922747,+
6,1824,1,+7.5087871706,+
6,1830,1,+7.5120712458,+
6,1836,-1,-7.5153445712,-
6,1842,1,+7.5186072168,+
6,1848,1,+7.5218592522,+
6,1854,1,+7.5251007461,+
6,1860,1,+7.5283317667,+
6,1866,1,+7.5315523814,+
6,1872,-2,-15.0695253141,-
6,1878,1,+7.5379626598,+
6,1884,1,+7.5411524551,+
6,1890,1,+7.5443321081,+
6,1896,1,+7.5475016828,+
6,1902,1,+7.5506612431,+
6,1908,0,+0.0000000000,0
6,1914,1,+7.5569505720,+
6,1920,1,+7.5600804650,+
6,1926,1,+7.5632005924,+
6,1932,1,+7.5663110148,+
6,1938,1,+7.5694117925,+
6,1944,-1,-7.5725029850,-
6,1950,1,+7.5755846516,+
6,1956,1,+7.5786568506,+
6,1962,1,+7.5817196401,+
6,1968,1,+7.5847730776,+
6,1974,1,+7.5878172200,+
6,1980,-1,-7.5908521237,-
6,1986,1,+7.5938778446,+
6,1992,1,+7.5968944381,+
6,1998,1,+7.5999019592,+
6,2004,1,+7.6029004622,+
6,2010,1,+7.6058900011,+
6,2016,-3,-22.8266118876,-
6,2022,1,+7.6118423996,+
6,2028,1,+7.6148053647,+
6,2034,1,+7.6177595766,+
6,2040,1,+7.6207050868,+
6,2046,1,+7.6236419465,+
6,2052,-1,-7.6265702063,-
6,2058,1,+7.6294899164,+
6,2064,1,+7.6324011266,+
6,2070,1,+7.6353038863,+
6,2076,1,+7.6381982443,+
6,2082,1,+7.6410842492,+
6,2088,-1,-7.6439619490,-
6,2094,1,+7.6468313914,+
6,2100,1,+7.6496926237,+
6,2106,1,+7.6525456927,+
6,2112,1,+7.6553906448,+
6,2118,1,+7.6582275262,+
6,2124,0,+0.0000000000,0
6,2130,1,+7.6638772587,+
6,2136,1,+7.6666902001,+
6,2142,1,+7.6694952510,+
6,2148,1,+7.6722924556,+
6,2154,1,+7.6750818577,+
6,2160,-2,-15.3557270014,-
6,2166,1,+7.6806374276,+
6,2172,1,+7.6834036811,+
6,2178,1,+7.6861623035,+
6,2184,1,+7.6889133369,+
6,2190,1,+7.6916568228,+
6,2196,0,+0.0000000000,0
6,2202,1,+7.6971213173,+
6,2208,1,+7.6998424074,+
6,2214,1,+7.7025561133,+
6,2220,1,+7.7052624749,+
6,2226,1,+7.7079615318,+
6,2232,-1,-7.7106533235,-
6,2238,1,+7.7133378889,+
6,2244,1,+7.7160152666,+
6,2250,1,+7.7186854952,+
6,2256,1,+7.7213486126,+
6,2262,1,+7.7240046567,+
6,2268,-2,-15.4533073297,-
6,2274,1,+7.7292956743,+
6,2280,1,+7.7319307219,+
6,2286,1,+7.7345588444,+
6,2292,1,+7.7371800778,+
6,2298,1,+7.7397944584,+
6,2304,-5/2,-19.3560050545,-
6,2310,1,+7.7450028035,+
6,2316,1,+7.7475968387,+
6,2322,1,+7.7501841623,+
6,2328,1,+7.7527648089,+
6,2334,1,+7.7553388128,+
6,2340,-1,-7.7579062084,-
6,2346,1,+7.7604670292,+
6,2352,1,+7.7630213090,+
6,2358,1,+7.7655690811,+
6,2364,1,+7.7681103785,+
6,2370,1,+7.7706452341,+
6,2376,-2,-15.5463473610,-
6,2382,1,+7.7756957499,+
6,2388,1,+7.7782114745,+
6,2394,1,+7.7807208861,+
6,2400,1,+7.7832240163,+
6,2406,1,+7.7857208965,+
6,2412,0,+0.0000000000,0
6,2418,1,+7.7906960312,+
6,2424,1,+7.7931743472,+
6,2430,1,+7.7956465363,+
6,2436,1,+7.7981126288,+
6,2442,1,+7.8005726547,+
6,2448,-2,-15.6060532873,-
6,2454,1,+7.8054746253,+
6,2460,1,+7.8079166289,+
6,2466,1,+7.8103526837,+
6,2472,1,+7.8127828186,+
6,2478,1,+7.8152070622,+
6,2484,-1,-7.8176254431,-
6,2490,1,+7.8200379895,+
6,2496,1,+7.8224447295,+
6,2502,1,+7.8248456910,+
6,2508,1,+7.8272409018,+
6,2514,1,+7.8296303892,+
6,2520,-3,-23.4960425415,-
6,2526,1,+7.8343923029,+
6,2532,1,+7.8367647833,+
6,2538,1,+7.8391316483,+
6,2544,1,+7.8414929245,+
6,2550,1,+7.8438486382,+
6,2556,0,+0.0000000000,0
6,2562,1,+7.8485434825,+
6,2568,1,+7.8508826648,+
6,2574,1,+7.8532163882,+
6,2580,1,+7.8555446779,+
6,2586,1,+7.8578675593,+
6,2592,0,+0.0000000000,0
6,2598,1,+7.8624971972,+
6,2604,1,+7.8648040033,+
6,2610,1,+7.8671055003,+
6,2616,1,+7.8694017126,+
6,2622,1,+7.8716926643,+
6,2628,0,+0.0000000000,0
6,2634,1,+7.8762588823,+
6,2640,1,+7.8785341961,+
6,2646,1,+7.8808043447,+
6,2652,1,+7.8830693513,+
6,2658,1,+7.8853292393,+
6,2664,-1,-7.8875840317,-
6,2670,1,+7.8898337514,+
6,2676,1,+7.8920784212,+
6,2682,1,+7.8943180638,+
6,2688,1,+7.8965527016,+
6,2694,1,+7.8987823570,+
6,2700,-2,-15.8020141040,-
6,2706,1,+7.9032268087,+
6,2712,1,+7.9054416491,+
6,2718,1,+7.9076515947,+
6,2724,1,+7.9098566673,+
6,2730,1,+7.9120568882,+
6,2736,-2,-15.8285045575,-
6,2742,1,+7.9164428601,+
6,2748,1,+7.9186286533,+
6,2754,1,+7.9208096793,+
6,2760,1,+7.9229859587,+
6,2766,1,+7.9251575122,+
6,2772,-1,-7.9273243603,-
6,2778,1,+7.9294865233,+
6,2784,1,+7.9316440215,+
6,2790,1,+7.9337968748,+
6,2796,1,+7.9359451034,+
6,2802,1,+7.9380887269,+
6,2808,-2,-15.8804555303,-
6,2814,1,+7.9423622377,+
6,2820,1,+7.9444921639,+
6,2826,1,+7.9466175632,+
6,2832,1,+7.9487384548,+
6,2838,1,+7.9508548577,+
6,2844,0,+0.0000000000,0
6,2850,1,+7.9550742733,+
6,2856,1,+7.9571773235,+
6,2862,1,+7.9592759601,+
6,2868,1,+7.9613702017,+
6,2874,1,+7.9634600666,+
6,2880,-4,-31.8621822925,-
6,2886,1,+7.9676267393,+
6,2892,1,+7.9697035833,+
6,2898,1,+7.9717761229,+
6,2904,1,+7.9738443759,+
6,2910,1,+7.9759083602,+
6,2916,-3/2,-11.9669521397,-
6,2922,1,+7.9800235923,+
6,2928,1,+7.9820748751,+
6,2934,1,+7.9841219587,+
6,2940,1,+7.9861648603,+
